sortType,cost,file,sorted,preProcessTime,sortTime
i,c,C/512,True,0,0.0001491190000000031
i,c,C/512,True,0,0.00014532499999998783
i,c,C/512,True,0,0.00014850400000000763
i,c,C/512,True,0,0.0001732720000000021
i,c,C/512,True,0,0.0001617679999999927
i,c,C/512,True,0,0.0002229919999999913
i,c,C/512,True,0,0.00013927800000000656
i,c,C/512,True,0,0.0001476300000000097
i,c,C/512,True,0,0.0001766619999999941
i,c,C/512,True,0,0.00014680499999999985
i,c,C/1024,True,0.074204372,0.0015230339999999926
i,c,C/1024,True,0,0.0015139080000000082
i,c,C/1024,True,0,0.0015187770000000128
i,c,C/1024,True,0,0.0016096569999999866
i,c,C/1024,True,0,0.0013919699999999924
i,c,C/1024,True,0,0.0014298530000000087
i,c,C/1024,True,0,0.0014091200000000137
i,c,C/1024,True,0,0.001561709999999994
i,c,C/1024,True,0,0.001362179000000019
i,c,C/1024,True,0,0.001351985
i,c,C/1024,True,0,0.0013885829999999988
i,c,C/1024,True,0,0.001359644000000021
i,c,C/1024,True,0,0.0013860109999999926
i,c,C/2048,True,0.131686897,0.0024954490000000107
i,c,C/2048,True,0,0.0027593409999999985
i,c,C/2048,True,0,0.0024245250000000107
i,c,C/2048,True,0,0.002416804999999994
i,c,C/2048,True,0,0.005296144000000003
i,c,C/2048,True,0,0.0024208470000000037
i,c,C/2048,True,0,0.0024378089999999575
i,c,C/2048,True,0,0.0024827510000000053
i,c,C/2048,True,0,0.0024791129999999773
i,c,C/2048,True,0,0.0026900120000000194
i,c,C/2048,True,0,0.002649096999999989
i,c,C/2048,True,0,0.0025303299999999695
i,c,C/2048,True,0,0.0026672340000000183
i,c,C/4096,True,0.253749585,0.013309673999999994
i,c,C/4096,True,0,0.014001716999999969
i,c,C/4096,True,0,0.013385301999999988
i,c,C/4096,True,0,0.013780385999999978
i,c,C/4096,True,0,0.013951064000000013
i,c,C/4096,True,0,0.013577853000000029
i,c,C/4096,True,0,0.01384390499999999
i,c,C/4096,True,0,0.013289236999999954
i,c,C/4096,True,0,0.013261583000000021
i,c,C/4096,True,0,0.013844368999999968
i,c,C/4096,True,0,0.013559867999999975
i,c,C/4096,True,0,0.01765565800000002
i,c,C/4096,True,0,0.014329844000000036
i,c,C/8192,True,0.505186853,0.03137745599999997
i,c,C/8192,True,0,0.02923862899999996
i,c,C/8192,True,0,0.02910909100000003
i,c,C/8192,True,0,0.029886778000000058
i,c,C/8192,True,0,0.02988374599999999
i,c,C/8192,True,0,0.028989103000000016
i,c,C/8192,True,0,0.03045181600000002
i,c,C/8192,True,0,0.03173679600000012
i,c,C/8192,True,0,0.03032415799999999
i,c,C/8192,True,0,0.030267370000000016
i,c,C/8192,True,0,0.030173733000000036
i,c,C/8192,True,0,0.02929406099999987
i,c,C/8192,True,0,0.03077556200000009
i,c,C/16384,True,0.9945246560000001,0.09533021799999997
i,c,C/16384,True,0,0.0897004990000001
i,c,C/16384,True,0,0.0953225230000001
i,c,C/16384,True,0,0.09262403099999972
i,c,C/16384,True,0,0.09468199999999971
i,c,C/16384,True,0,0.09328585599999961
i,c,C/16384,True,0,0.0918216420000002
i,c,C/16384,True,0,0.09586361400000021
i,c,C/16384,True,0,0.09586565999999941
i,c,C/16384,True,0,0.09330890800000002
i,c,C/16384,True,0,0.09051312999999972
i,c,C/16384,True,0,0.09206382099999999
i,c,C/16384,True,0,0.097715773
i,c,C/32768,True,3.74373591,0.24969079300000008
i,c,C/32768,True,0,0.2586201309999998
i,c,C/32768,True,0,0.25316978599999995
i,c,C/32768,True,0,0.25116820899999937
i,c,C/32768,True,0,0.2501527189999999
i,c,C/32768,True,0,0.25387882999999967
i,c,C/32768,True,0,0.25533746300000004
i,c,C/32768,True,0,0.2566082769999998
i,c,C/32768,True,0,0.2522494720000008
i,c,C/32768,True,0,0.25468212599999873
i,c,C/32768,True,0,0.25581366200000133
i,c,C/32768,True,0,0.2537705459999984
i,c,C/32768,True,0,0.24780107399999984
i,c,C/65536,True,6.246057346,0.2532001629999998
i,c,C/65536,True,0,0.2509181870000008
i,c,C/65536,True,0,0.2513411080000001
i,c,C/65536,True,0,0.25488504899999853
i,c,C/65536,True,0,0.2573645520000003
i,c,C/65536,True,0,0.2542156870000003
i,c,C/65536,True,0,0.26194834300000025
i,c,C/65536,True,0,0.25371824399999987
i,c,C/65536,True,0,0.25711583100000013
i,c,C/65536,True,0,0.25153809200000055
i,c,C/65536,True,0,0.25650427599999936
i,c,C/65536,True,0,0.2518282539999994
i,c,C/65536,True,0,0.2548254460000017
i,c,C/131072,True,13.708802506,1.292963082
i,c,C/131072,True,0,1.3002930689999985
i,c,C/131072,True,0,1.3071774160000018
i,c,C/131072,True,0,0.6219782609999989
i,c,C/131072,True,0,0.6215090429999997
i,c,C/131072,True,0,0.8844544419999991
i,c,C/131072,True,0,1.2827151520000015
i,c,C/131072,True,0,1.283868077000001
i,c,C/131072,True,0,1.2714194539999966
i,c,C/131072,True,0,1.2733006799999984
i,c,C/131072,True,0,1.263712654999999
i,c,C/131072,True,0,1.2628828460000037
i,c,C/131072,True,0,0.6112362689999955
i,c,C/262144,True,26.583801848,1.3592630330000013
i,c,C/262144,True,0,2.810971694999999
i,c,C/262144,True,0,2.77730674
i,c,C/262144,True,0,2.7837294390000054
i,c,C/262144,True,0,1.343437195
i,c,C/524288,True,31.846434469000002,2.538168227
i,c,C/524288,True,0,2.4793757720000045
i,c,C/524288,True,0,2.5381407340000024
i,c,C/524288,True,0,2.4763828250000017
i,c,C/524288,True,0,2.5374589420000007
i,c,C/1048576,True,63.773558011,4.9631142530000005
i,c,C/1048576,True,0,4.872592163999997
i,c,C/1048576,True,0,4.829558792
i,c,C/1048576,True,0,4.914423701000004
i,c,C/1048576,True,0,4.9389353779999965
i,c,C/2097152,True,128.495231747,44.44721008799999
i,c,C/2097152,True,0,44.30795367199997
i,c,C/2097152,True,0,44.804406510000035
i,c,C/2097152,True,0,44.76272113699997
i,c,C/2097152,True,0,44.960539650999976
i,c,B/1,True,0.000206414999999998,3.495999999998667e-06
i,c,B/1,True,0,4.064000000001539e-06
i,c,B/1,True,0,2.1036999999998057e-05
i,c,B/1,True,0,3.6780000000000146e-06
i,c,B/1,True,0,3.4050000000014624e-06
i,c,B/1,True,0,3.106999999998722e-06
i,c,B/1,True,0,3.231999999998847e-06
i,c,B/1,True,0,3.1200000000022876e-06
i,c,B/1,True,0,3.2460000000018863e-06
i,c,B/1,True,0,2.979000000000176e-06
i,c,B/1,True,0,2.7689999999996884e-06
i,c,B/1,True,0,2.7250000000020314e-06
i,c,B/1,True,0,2.965000000000606e-06
i,c,B/2,True,0.00028349899999999956,5.134999999999862e-06
i,c,B/2,True,0,4.692000000000585e-06
i,c,B/2,True,0,5.69900000000137e-06
i,c,B/2,True,0,5.1470000000004845e-06
i,c,B/2,True,0,4.793999999998938e-06
i,c,B/2,True,0,4.517000000002491e-06
i,c,B/2,True,0,4.719999999999724e-06
i,c,B/2,True,0,4.541000000000267e-06
i,c,B/2,True,0,4.587000000000341e-06
i,c,B/2,True,0,4.808000000001977e-06
i,c,B/2,True,0,4.515999999999548e-06
i,c,B/2,True,0,4.574999999999718e-06
i,c,B/2,True,0,5.009000000000263e-06
i,c,B/4,True,0.00041072600000000015,6.801000000000723e-06
i,c,B/4,True,0,5.971000000000448e-06
i,c,B/4,True,0,6.8040000000026135e-06
i,c,B/4,True,0,1.0000999999999066e-05
i,c,B/4,True,0,6.25800000000204e-06
i,c,B/4,True,0,6.3299999999988366e-06
i,c,B/4,True,0,6.680000000001962e-06
i,c,B/4,True,0,7.71299999999947e-06
i,c,B/4,True,0,1.0596999999997608e-05
i,c,B/4,True,0,1.0793000000001995e-05
i,c,B/4,True,0,5.986999999998965e-06
i,c,B/4,True,0,7.019000000000469e-06
i,c,B/4,True,0,1.0777999999999482e-05
i,c,B/8,True,0.0006695109999999976,8.749999999998342e-06
i,c,B/8,True,0,8.640999999996735e-06
i,c,B/8,True,0,8.588999999999819e-06
i,c,B/8,True,0,8.495000000000724e-06
i,c,B/8,True,0,8.146000000000542e-06
i,c,B/8,True,0,8.333999999998731e-06
i,c,B/8,True,0,7.621999999998796e-06
i,c,B/8,True,0,7.458999999997856e-06
i,c,B/8,True,0,7.37599999999991e-06
i,c,B/8,True,0,7.34199999999699e-06
i,c,B/8,True,0,7.626999999999634e-06
i,c,B/8,True,0,7.4350000000000804e-06
i,c,B/8,True,0,7.397999999998739e-06
i,c,B/16,True,0.0012530749999999993,4.8273000000001454e-05
i,c,B/16,True,0,2.8462999999999405e-05
i,c,B/16,True,0,2.8310999999999614e-05
i,c,B/16,True,0,2.8079999999999772e-05
i,c,B/16,True,0,2.8193999999998748e-05
i,c,B/16,True,0,2.8120000000003004e-05
i,c,B/16,True,0,2.811600000000164e-05
i,c,B/16,True,0,2.8033000000000224e-05
i,c,B/16,True,0,2.7757999999999255e-05
i,c,B/16,True,0,2.814700000000267e-05
i,c,B/16,True,0,2.786000000000108e-05
i,c,B/16,True,0,4.0667000000001174e-05
i,c,B/16,True,0,2.7776999999999663e-05
i,c,B/32,True,0.0021217299999999988,7.536600000000032e-05
i,c,B/32,True,0,7.586400000000187e-05
i,c,B/32,True,0,0.00012066900000000033
i,c,B/32,True,0,9.270100000000059e-05
i,c,B/32,True,0,7.333400000000129e-05
i,c,B/32,True,0,7.100699999999793e-05
i,c,B/32,True,0,0.00011099200000000073
i,c,B/32,True,0,8.971500000000063e-05
i,c,B/32,True,0,7.282399999999911e-05
i,c,B/32,True,0,7.037000000000015e-05
i,c,B/32,True,0,7.062700000000019e-05
i,c,B/32,True,0,7.080900000000154e-05
i,c,B/32,True,0,8.764500000000078e-05
i,c,B/64,True,0.004315800000000002,0.00018352999999999772
i,c,B/64,True,0,0.00017827800000000046
i,c,B/64,True,0,0.00018059400000000267
i,c,B/64,True,0,0.00018508600000000097
i,c,B/64,True,0,0.00017998100000000267
i,c,B/64,True,0,0.00017713399999999893
i,c,B/64,True,0,0.0001744989999999981
i,c,B/64,True,0,0.00018868199999999558
i,c,B/64,True,0,0.00017484499999999986
i,c,B/64,True,0,0.00018300599999999945
i,c,B/64,True,0,0.0001744430000000033
i,c,B/64,True,0,0.00016645800000000127
i,c,B/64,True,0,0.0001697499999999963
i,c,B/128,True,0.008602488000000002,0.00040245900000000084
i,c,B/128,True,0,0.00038818000000000186
i,c,B/128,True,0,0.0004147060000000008
i,c,B/128,True,0,0.0004525090000000037
i,c,B/128,True,0,0.00038169799999999976
i,c,B/128,True,0,0.0003890890000000022
